Ticker,MarketCap,PB_Ratio,PE_Ratio,Beta,ROE,ROA,DebtToEquity,ProfitMargin,Return_1M,Return_3M,Return_6M,Return_12M,Vol_1M,Vol_1Y,Amihud_Illiquidity,ATM_IV,Put_Call_Ratio,IV_Skew
AAPL,4665759498240,43.4375,36.62085,1.086,1.4875101,0.27082002,78.445,0.27618998,,,,,0.32063971536110897,0.2514563857521821,7.856057882814142e-07,1.0000000000000003e-05,0.6631093925663476,0.499995
MSFT,3813240733696,8.621339,28.577076,1.099,0.34039003,0.14088,29.118,0.40305,,,,,0.27840632912466073,0.324194029768052,8.986309709808104e-07,1.0000000000000003e-05,0.4470693540910762,0.499995
JNJ,645949227008,7.5966444,31.059097,0.231,0.25742,0.08595,57.709,0.21482,,,,,0.19118968697851094,0.18887195071140933,5.03152792245217e-06,1.0000000000000003e-05,1.3901200369344413,0.499995
JPM,950620520448,2.6887305,15.315631,0.977,0.17789,0.0136,,0.34921002,,,,,0.13191452427270134,0.22398074929477094,3.7697840789604963e-06,1.0000000000000003e-05,0.7183680211430459,0.499995
BAC,435788087296,1.5840578,14.39261,1.168,0.111990005,0.00969,,0.29524,,,,,0.15722250371703925,0.21327452765942606,5.3369245867982935e-06,1.0000000000000003e-05,0.31036513545347466,0.499995
PFE,159362875392,1.8704842,36.789474,0.28,0.05014,0.05784,74.253,0.06804,,,,,0.22621578906686687,0.23589114230822025,9.220287595480659e-06,1.0000000000000003e-05,0.6950854956355375,0.499995
WMT,820398325760,8.701047,37.351448,0.605,0.22313999,0.07072,70.378,0.03,,,,,0.37022756385882755,0.26030009758569544,4.630946360043528e-06,1.0000000000000003e-05,0.3374467359809102,0.499995
PG,334206992384,6.265743,21.75189,0.377,0.30290002,0.107209995,64.49,0.18437,,,,,0.14343575823831137,0.19728307165045256,7.383624929664975e-06,1.0000000000000003e-05,0.6154801324503312,0.24999749999999998
XOM,644377739264,2.4843056,20.168598,0.173,0.12584,0.055209998,15.921,0.09072,,,,,0.25434960201699164,0.2573701180994557,5.38067797792425e-06,1.0000000000000003e-05,0.27812397507379466,0.499995
CVX,395969232896,2.0853305,19.409616,0.488,0.12231,0.05861,18.959,0.09834,,,,,0.256465508674083,0.23569344682880122,6.9547439145198135e-06,1.0000000000000003e-05,1.224812030075188,0.499995
